kod_obce,okres,nazev_obce,pocet_obyvatel_celkem,pocet_obyvatel_muzi,pocet_obyvatel_zeny,prumerny_vek_celkem,prumerny_vek_muzi,prumerny_vek_zeny
567639,Okres Teplice,Krupka,12793,6302,6491,42.8036035331822,41.5455410980641,44.0250346633801
567647,Okres Teplice,Lahošť,694,343,351,41.9250720461095,39.8586005830904,43.9444444444444
567655,Okres Teplice,Ledvice,538,269,269,40.4163568773234,38.7416356877323,42.0910780669145
546909,Okres Teplice,Lukov,135,75,60,45.9296296296296,43.2333333333333,49.3
567698,Okres Teplice,Měrunice,314,157,157,44.1146496815287,44.1815286624204,44.0477707006369
567701,Okres Teplice,Mikulov,210,103,107,45.6857142857143,44.2766990291262,47.0420560747664
567710,Okres Teplice,Modlany,1153,584,569,40.1123156981787,40.0308219178082,40.1959578207381
567728,Okres Teplice,Moldava,173,104,69,45.1011560693642,44.8076923076923,45.5434782608696
567752,Okres Teplice,Novosedlice,2133,1095,1038,43.8661509610877,42.596803652968,45.2052023121387
567761,Okres Teplice,Ohníč,704,329,375,44.0625,43.7796352583587,44.3106666666667
567779,Okres Teplice,Osek,4516,2219,2297,44.7451284322409,43.5405588102749,45.9087940792338
567787,Okres Teplice,Proboštov,2700,1382,1318,43.942962962963,42.7228654124457,45.2223065250379
567809,Okres Teplice,Rtyně nad Bílinou,837,435,402,41.4091995221027,39.3505747126437,43.636815920398
567833,Okres Teplice,Srbice,498,256,242,42.3895582329317,42.4921875,42.2809917355372
567841,Okres Teplice,Světec,981,504,477,42.7731906218145,41.7519841269841,43.8522012578616
567442,Okres Teplice,Teplice,50912,24597,26315,43.5590823381521,41.7054722120584,45.2916777503325
567850,Okres Teplice,Újezdeček,875,447,428,42.9662857142857,40.2069351230425,45.8481308411215
567868,Okres Teplice,Zabrušany,1146,564,582,43.8368237347295,43.4982269503546,44.1649484536083
567876,Okres Teplice,Žalany,505,254,251,42.7237623762376,42.2795275590551,43.1733067729084
567884,Okres Teplice,Žim,238,130,108,40.936974789916,39.3076923076923,42.8981481481481
567931,Okres Ústí nad Labem,Dolní Zálezly,559,303,256,46.4821109123435,44.529702970297,48.79296875
567957,Okres Ústí nad Labem,Habrovany,226,120,106,39.8761061946903,39.1166666666667,40.7358490566038
567973,Okres Ústí nad Labem,Homole u Panny,402,207,195,45.1666666666667,45.8623188405797,44.4282051282051
568007,Okres Ústí nad Labem,Chabařovice,2545,1231,1314,42.519253438114,41.3505280259951,43.6141552511416
568015,Okres Ústí nad Labem,Chlumec,4257,2088,2169,43.8309842612168,42.522030651341,45.0910557860765
568023,Okres Ústí nad Labem,Chuderov,1171,601,570,40.966268146883,40.4916805324459,41.4666666666667
568058,Okres Ústí nad Labem,Libouchec,1907,977,930,43.6415836392239,42.6115660184237,44.7236559139785
568091,Okres Ústí nad Labem,Malé Březno,525,274,251,45.3666666666667,43.9598540145985,46.902390438247
568104,Okres Ústí nad Labem,Malečov,854,444,410,42.9262295081967,42.2387387387387,43.6707317073171
568147,Okres Ústí nad Labem,Petrovice,907,474,433,40.0071664829107,40.0147679324895,39.9988452655889
568155,Okres Ústí nad Labem,Povrly,2277,1136,1141,44.0234958278437,43.0739436619718,44.9688869412796
530620,Okres Ústí nad Labem,Přestanov,633,337,296,38.9944707740916,39.4643916913947,38.4594594594595
546186,Okres Ústí nad Labem,Ryjice,196,89,107,43.265306122449,42.8595505617978,43.6028037383178
568201,Okres Ústí nad Labem,Řehlovice,1446,732,714,42.7233748271093,41.8497267759563,43.6190476190476
546925,Okres Ústí nad Labem,Stebno,479,240,239,44.3413361169102,42.1958333333333,46.4958158995816
568287,Okres Ústí nad Labem,Tašov,138,68,70,41.8840579710145,42.6764705882353,41.1142857142857
568295,Okres Ústí nad Labem,Telnice,698,367,331,44.8467048710602,44.058583106267,45.7205438066465
568309,Okres Ústí nad Labem,Tisá,1005,536,469,42.365671641791,41.0335820895522,43.8880597014925
553697,Okres Ústí nad Labem,Trmice,3381,1750,1631,38.0956817509613,37.6411428571429,38.5833844267321
554804,Okres Ústí nad Labem,Ústí nad Labem,90866,44171,46695,43.1462043008386,41.4460958547463,44.7544169611307
568350,Okres Ústí nad Labem,Velké Březno,2433,1181,1252,42.7770242498972,41.2646062658764,44.2036741214058
555223,Okres Ústí nad Labem,Velké Chvojno,880,444,436,41.2159090909091,40.2522522522523,42.197247706422
568384,Okres Ústí nad Labem,Zubrnice,226,118,108,47.5265486725664,45.1271186440678,50.1481481481481
